name,price,brand,model name,color,screensize
"(Renewed) Zebronics Zeb-FIT5220CH Smart Fitness Watch, 2.5D Curved Glass 4.4cm Large Square Display, Metal Body, Dual Menu UI, 7-Day Data Storage, 8 Sports Mode, SpO2, BP & HR Monitor, (Gold)",null,ZEBRONICS,ZEB-FIT5220CH,Gold,44 Millimetres
"(Renewed) Zebronics ZEB-FIT7220CH (Limited Edition) Smart Fitness Watch with Call Function via Built-in Speaker & Mic, 2.5D Curved Glass 4.4cm Square Display, SpO2, BP, HR, Metal Body & Strap. (Metallic Silver)",null,ZEBRONICS,ZEB-FIT7220CH,Metallic Silver,4.4 Centimetres
"Zebronics ZEB-FIT8220CH smart watch with 4.3cm large square touch display, IP68 waterproof,Heart rate, BP, SpO2 monitor,12 sports mode,Caller ID,all notifications and custom watch face (Grey Plus Red)","1,399",ZEBRONICS,Zebronics FIT,Red,4.3 Centimetres
"(Renewed) Zebronics ZEB-FIT8220CH Smart Watch with 4.3cm Large Square Touch Display, IP68 Waterproof, Heart Rate, BP, SpO2 Monitor,12 Sports Mode, Caller ID, All Notifications and Custom Watch face (Blue)",null,ZEBRONICS,ZEB-FIT8220CH (Blue),Blue,4.3 Centimetres
"Zebronics DRIP Smart Watch with Bluetooth Calling, 4.3cm (1.69""), 10 Built-in & 100+ Watch Faces, 100+ Sport Modes & ZEB-NC3300 USB Powered Laptop Cooling Pad with Dual Fan, Dual USB Port",null,ZEBRONICS,null,null,null
Smart Watch Zeb-FIT 6220CH Metalic Black,"2,499",ZEBRONICS,null,Black,4.29 Centimetres
"(Renewed) ZEBRONICS Zeb-Fit2220CH Smart Fitness Band, 2.5D Curved Glass Full Touch Display, SpO2, BP & Heart Rate Monitor, IP68 Water Resistant, 8 Sports Mode (Silver Rim + Cadet Gray Strap)",null,ZEBRONICS,null,"Silver, Grey",null
"ZEBRONICS FIT180CH Smart Watch, IP68 Waterproof, 12 Sports Modes, 1.39"" (3.55cm) Display, Unisex Design, Heart Rate, SpO2, BP, SMS Text Call Notifications and Customizable Watch Faces (Black)","1,899",ZEBRONICS,Zebronics FIT,Black,3.55 Centimetres
"(Renewed) Zebronics ZEB-FIT7220CH Smart Fitness Watch with Call Function via Built-in Speaker & Mic, 2.5D Curved Glass 4.4cm (1.75"") Square Display, Metal Body, 7-Day Data Storage, SpO2, BP & HR Monitor (Gold)",null,ZEBRONICS,ZEB-FIT7220CH,Gold,4.4 Centimetres
"ZEBRONICS Zeb-FIT 7220CH Bluetooth Smart Watch,1.75"" Full Touch with 2.5D Curved Screen & Heart Rate Monitor,IP67 Waterproof, Multiple Watch Faces(Black) & Zeb-Sound Bomb",null,null,null,null,null
"ZEBRONICS Zeb-FIT ME Smart Watch with Heart Rate, SpO2, IP68 Waterproof, 14 Sport Mode, Customizable face, Notifications for Calls / Messages, app Control and Meditative Breathing(Rose Gold)","1,799",ZEBRONICS,ZEB-FIT ME (ROSE GOLD),Rose Gold,3.3 Centimetres
"ZEBRONICS Zeb-Fit1220CH Smart Fitness Watch, 2.5D Curved Glass Full Touch Display, SpO2, BP & Heart Rate Monitor, IP67 Water Resistant, 7 Sports Mode (Gold Rim + Rose Gold Strap)","1,099",ZEBRONICS,Zeb-Fit1220CH Rose,Gold,3.9 Centimetres
"(Renewed) Zebronics ZEB-FIT280CH Smart Watch with Screen Size 3.55cm (1.39inch) 12 Sports Modes, IP68 Waterproof, Heart Rate, BP, SpO2, Caller ID, 7 Days Storage (Black+ Red)",null,ZEBRONICS,ZEB-FIT280CH (BLACK+RED),Black+ Red,3.55 Centimetres
"(Renewed) Zebronics ZEB-FIT7220CH Smart Fitness Watch with Call Function via Built-in Speaker & Mic, 2.5D Curved Glass 4.4cm (1.75"") Square Display, Metal Body, 7-Day Data Storage, SpO2, BP & HR Monitor (Blue)",null,ZEBRONICS,ZEB-FIT7220CH,Blue,4.4 Centimetres
"Zebronics ETERNAL Bluetooth Calling Smart watch with 1.85"" Large display, Voice assistant, 100+ Sports, IP67 Waterproof, 11 built-in & customizable wallpaper, 8 Menu UI, Crown and Calculator (Blue)","2,199",ZEBRONICS,Zeb-FIT 580CH (Blue),Blue,null
"Zebronics ETERNAL Bluetooth Calling Smart watch with 1.85"" Large display, Voice assistant, 100+ Sport modes, IP67 Waterproof, 11 built-in & customizable wallpaper, 8 Menu UI, Crown and Calculator (Grey)","2,199",ZEBRONICS,Zeb-Fit 580ch,Grey,null
"(Renewed) ZEBRONICS Zeb FIT 920CH Silicone Fitness Band, Black",null,ZEBRONICS,null,Black,3.5 Centimetres
ZEBRONICS Smart Watch Zeb fit 80ch,"1,998",ZEBRONICS,ZEBFIT80CH BLUE,Blue,4.29 Centimetres
"ZEBRONICS Iconic AMOLED Bluetooth Calling Smartwatch, 4.52cm (1.8""), Always ON Display, 2 Buttons, 10 Built-in & 100+ Watch Faces, 100+ Sport Modes, Built-in Games, Calculator, IP67 (Classic Black)","3,599",ZEBRONICS,ZEB - COSMOS Lv1 CLASSIC BLACK,Classic Black,4.52 Centimetres
"ZEBRONICS Iconic AMOLED Bluetooth Calling Smartwatch, 4.52cm (1.8""), Always ON Display, 2 Buttons, 10 Built-in & 100+ Watch Faces, 100+ Sport Modes, Built-in Games, Calculator, IP67 (Blue)","3,499",ZEBRONICS,ZEB - COSMOS Lv1 Blue,Blue,4.52 Centimetres
"Zebronics ETERNAL Bluetooth Calling Smart watch with 1.85"" Large display, Voice assistant, 100+ Sports, IP67 Waterproof, 11 built-in & customizable wallpaper, 8 Menu UI, Crown and Calculator (Metallic Black)","2,449",ZEBRONICS,Zeb FIT580Ch (Mettalic Black),Metallic Black,null
"(Renewed) ZEBRONICS Zeb- FIT3220CH Smart Fitness Watch with Full Touch TFT Round Display, Metal Body, -Day Data Storage, SpO2, BP & Heart Rate Monitor, IP68 Water Resistant (Metallic Black Strap), 33",null,ZEBRONICS,Zeb- FIT3220CH,Metallic black,null
"ZEBRONICS Iconic AMOLED Bluetooth Calling Smartwatch, 4.52cm (1.8""), Always ON Display, 2 Buttons, 10 Built-in & 100+ Watch Faces, 100+ Sport Modes, Built-in Games, Calculator, IP67 (Silver)","3,499",ZEBRONICS,ZEB - COSMOS Lv1 SILVER,Silver,4.52 Centimetres
"ZEBRONICS Iconic AMOLED Bluetooth Calling Smartwatch, 4.52cm (1.8""), Always ON Display, 2 Buttons, 10 Built-in & 100+ Watch Faces, 100+ Sport Modes, Built-in Games, Calculator, IP67 (Metallic Black)","3,599",ZEBRONICS,ZEB - COSMOS Lv1 - METALLIC BLACK,Metallic Black,4.52 Centimetres
ZEBRONICS FIT90-GOLD | Full Touch Display |Multi Sports Mode | IP67 Water Proof |Beautiful Dual Menu UI | 1 Charging Cable- Gold,"1,999",ZEBRONICS,FIT90-GOLD,Gold,4.29 Centimetres
"ZEB-PDM100, Zebronics Wristband Pedometer with Calorie Burnt, LCD Display, Distance Tracking & Time Display",null,null,null,null,null
"ZEBRONICS Zeb-Fit1220CH Smart Fitness Watch, 2.5D Curved Glass Full Touch Display & Zeb-Companion 500 2.4GHz Wireless Keyboard & Mouse Combo, USB Nano Receiver, Chiclet Keys, Ultra Silent",null,ZEBRONICS,null,null,null
"ZEBRONICS Zeb-FIT 7220CH Bluetooth Smart Watch,7 Days Data Storage, (Black) Zeb-HAA3020 HDMI Cable Supports 3D, ARC & CEC Extension, Compatible with HDMI-Enabled TV, Blu-ray, Playstation",null,null,null,null,null
"ZEBRONICS Zeb-Fit1220CH Smart Fitness Watch, 2.5D Curved Glass Full Touch Display & Zeb-County 3W Wireless Bluetooth Portable Speaker with Supporting Carry Handle, USB, SD Card",null,null,null,null,null
"ZEBRONICS FIT 180CH Smart Watch, IP68 Waterproof, 12Sports Modules,1.39"" Display-Red","1,599",ZEBRONICS,FIT 180CH,Red,2 Inches
"ZEBRONICS ZEB-FIT8220CH Smart Watch with 4.3cm Large Square Touch Display & Jet PRO Premium Wired Gaming On Ear Headphone with LED for Headband + earcups, 40mm Neodymium Drivers, 2 Meter",null,ZEBRONICS,null,null,null
"(Renewed) Zebronics Smart Fitness Band ZEB-FIT850CH with Color Display, Pedometer, Heart Rate Monitor, Brightness Adjustment, Wrist Sense, Music Control, Caller ID, SMS & Third-Party app Notifications (Black)",null,ZEBRONICS,ZEB-FIT850CH,Black,null
"ZEBRONICS ZEB-FIT8220CH Smart Watch with 4.3cm Large Square Touch Display & Jet Premium Gaming Headphone with LED Light for earcups, 40mm Neodymium Drivers, 2 Meter Braided Cable",null,ZEBRONICS,null,null,null
"ZEBRONICS ZEB-FIT8220CH Smart Watch with 4.3cm Large Square Touch Display & Cozy 6 Button Vertical USB Gaming Mouse with 3200 DPI max, 1.8m Braided Cable, LED Lights, high Resolution",null,ZEBRONICS,null,null,null
"ZEBRONICS Zeb-Fit1220CH Smart Fitness Watch, 2.5D Curved Glass Full Touch Display, SpO2, BP & Heart Rate Monitor & ZEB-FIT280CH Smart Watch with Screen Size 3.55cm (1.39inch) 12 Sports Modes",null,null,null,null,null
"ZEBRONICS ZEB-FIT8220CH Smart Watch with 4.3cm Large Square Touch Display & Zeb-Sound Bomb N2 TWS Earbuds with 50ms Low Latency Gaming, ENC, Voice Assistant, Flash Connect, Splash Proof",null,ZEBRONICS,null,null,null
"ZEBRONICS Zeb-Fit1220CH Smart Fitness Watch, 2.5D Curved Glass Full Touch Display, SpO2, BP & Heart Rate Monitor, IP67 Water Resistant & Zeb-Thunder Wireless Bluetooth Over The Ear Headphone",null,ZEBRONICS,null,null,null
"ZEBRONICS ZEB-FIT7220CH Smart Fitness Watch with Call Function via Built-in Speaker & Zeb-Fit1220CH Smart Fitness Watch, 2.5D Curved Glass Full Touch Display, SpO2, BP & Heart Rate Monitor",null,null,null,null,null
"ZEBRONICS FIT920CH Smart Watch with 3.5cm (1.4"") Display 30Days Standby, Music Control, Customizable Faces & HR Monitor & Zeb-Companion 107 Wireless Keyboard and Mouse Combo with Nano Receiver (Black)",null,ZEBRONICS,null,null,null
"(Renewed) Zebronics Zeb-Fit1220CH Smart Fitness Band, 2.5D Curved Glass Full Touch Display, SpO2, BP & Heart Rate Monitor, IP67 Water Resistant, 7 Sports Mode, Black Dial + Black Strap",null,ZEBRONICS,null,Black,null
"ZEBRONICS Zeb-Fit1220CH Smart Fitness Watch, 2.5D Curved Glass Full Touch Display, SpO2, BP & Heart Rate Monitor, IP67 Water Resistant & ZEB-FIT280CH Smart Watch with Screen Size 12 Sports Modes",null,null,null,null,null
"ZEBRONICS FIT920CH Smart Watch with 3.5cm (1.4"") Display 30Days Standby, Music Control & & Heart Rate Monitor, IP67 Water Resistant, 7 Sports Mode",null,ZEBRONICS,null,null,null
"ZEBRONICS ZEB-FIT7220CH Bluetooth Smart Watch,4.4cm(1.75"") Full Touch Curved Screen,Metal Body & Zeb-Fit1220CH Smart Fitness Watch, 2.5D Curved Glass Full Touch Display, SpO2, BP & Heart Rate Monitor",null,ZEBRONICS,null,null,null
