Name,price,Brand,Model Name,Style,Colour,Screen Size,Series,Special Feature,Target Audience,Age Range (Description),Shape,Item Dimensions LxWxH,Item Weight,Battery Life
"Fire-Boltt Infinity 1.6"" Round Display Smart Watch, 400*400 Pixel High Resolution, Bluetooth Calling with Voice Assistance, 300 Plus Sports Modes & Internal Storage of 4GB to Store 300+ Songs","4,999",Fire-Boltt,Infinity,Modern,Black,1.6 Inches,,,,,,,,
"Fire-Boltt Gladiator 1.96"" Biggest Display Smart Watch with Bluetooth Calling, Voice Assistant &123 Sports Modes, 8 Unique UI Interactions, SpO2, 24/7 Heart Rate Tracking","2,999",Fire-Boltt,Gladiator,Modern,Black,1.96 Inches,,,,,,,,
"Fire-Boltt Ninja Calling 1.69"" (4.29cm) Bluetooth Calling Smart Watch, Dial Pad, Speaker, AI Voice Assistant with 450 NITS Peak Brightness, Wrist Gaming & 100+ Faces with SpO2,HR, Multiple Sports Mode","1,999",Fire-Boltt,Ninja Calling,Modern,Silver,1.69 Inches,,,,,,,,
"Fire-Boltt Ninja Call Pro Plus 1.83"" Smart Watch with Bluetooth Calling, AI Voice Assistance, 100 Sports Modes IP67 Rating, 240*280 Pixel High Resolution","1,799",Fire-Boltt,Ninja Call Pro,Modern,Black,1.83 Inches,,,,,,,,
"Fire-Boltt Phoenix Smart Watch with Bluetooth Calling 1.3"",120+ Sports Modes, 240*240 PX High Res with SpO2, Heart Rate Monitoring & IP67 Rating","1,799",Fire-Boltt,,Modern,Black,1.3 Inches,,,,,,,,
"Fire-Boltt Ninja Call Pro Smart Watch Dual Chip Bluetooth Calling, AI Voice Assistance with HD Display, 100 Sports Modes, with SpO2 & Heart Rate Monitoring","1,999",Fire-Boltt,Ninja Call Pro,Modern,Black,1.69 Inches,,,,,,,,
"Fire-Boltt Ninja 3 Smartwatch Full Touch 1.69 & 60 Sports Modes with IP68, Sp02 Tracking, Over 100 Cloud based watch faces - Black","1,299",Fire-Boltt,Ninja 3,Modern,Black,1.69 Inches,,,,,,,,
"Fire-Boltt Ninja Call Pro Plus 1.83"" Smart Watch with Bluetooth Calling, AI Voice Assistance, 100 Sports Modes IP67 Rating, 240*280 Pixel High Resolution","1,799",Fire-Boltt,Ninja Call Pro,Modern,Pink,1.83 Inches,,,,,,,,
"Fire-Boltt Ninja 3 Smartwatch Full Touch 1.69 "" & 60 Sports Modes with IP68, Sp02 Tracking, Over 100 Cloud based watch faces ( Green )","1,299",Fire-Boltt,Ninja 3,Modern,Green,1.69 Inches,,,,,,,,
"Fire-Boltt India's No 1 Smartwatch Brand Talk 2 Bluetooth Calling Smartwatch with Dual Button, Hands On Voice Assistance, 60 Sports Modes, in Built Mic & Speaker with IP68 Rating","1,999",Fire-Boltt,Talk 2,Modern,Black,1.28 Inches,,,,,,,,
